,15 to 19,20 to 24,25 to 34,35 to 44
2000,235.7,621.8,268.1,78.8
2001,255.7,717.7,291.7,81.8
2002,318.6,849.1,330.6,87.8
2003,356.3,969.4,345.8,94
2004,424.5,1108.8,390.5,94.8
2005,489.4,1189.2,408.4,97.2
2006,535,1267.3,439.2,103.8
2007,704,1415.6,474.6,110.7
2008,946.9,1716.1,477.6,105.4
2009,1020.2,1854.3,435.3,99.8
2010,1049.4,1879.1,416.3,94.5
2011,970.9,1754,414.8,91.4
2012,935.5,1830.2,589.7,130
2013,928.2,1821.3,,
2014,884,1783.7,,
2015,825.1,1691.2,,
