,15 to 19,20 to 24,25 to 34,35 to 44
2000,387.1,815.7,343.4,113.5
2001,431.7,925.5,372.9,120.8
2002,519.3,1088.3,412.1,129.4
2003,589.8,1241.3,440.2,134.6
2004,674.9,1383.8,490.9,138.5
2005,736.8,1460.3,521,143.7
2006,811.2,1572.9,565.8,155.2
2007,912.5,1696.3,611.7,164.2
2008,957.6,1751.5,632.6,163.7
2009,1032.6,1895.4,605.8,163.5
2010,1063.8,1928,606,163.2
2011,989.9,1829.5,647,184.1
2012,953.8,1913.7,678.7,186.8
2013,928.2,1821.3,,
2014,884,1783.7,,
2015,825.1,1691.2,,
