,15 to 19,20 to 24,25 to 34,35 to 44
2000,2488.6,1909.5,502.6,113.3
2001,2589.5,2012.8,530.8,117.2
2002,2756.4,2182.7,548.9,120.2
2003,2871.2,2288,564.6,120
2004,2952,2388.4,572.3,118.4
2005,2968.4,2408.1,574.8,118.9
2006,2954.7,2417.4,581.6,115
2007,3034,2510.8,597.1,119.4
2008,2979.6,2516.9,604,117.3
2009,3033.9,2621.4,587.2,116.4
2010,2972.8,2598.7,566.2,115.8
2011,2786.6,2547.1,599.3,120
2012,2791.8,2639.5,587.6,117.3
2013,2695.1,2695.1,,
2014,2662.6,2691.5,,
2015,2443.1,2562,,
