,15 to 19,20 to 24,25 to 34,35 to 44
2000,891.1,1043.1,256.7,56.5
2001,987.5,1162.3,305.5,62.9
2002,1130.7,1293.3,311.3,67
2003,1244.1,1402,327.8,68.3
2004,1508.3,1538.9,344.7,73.4
2005,1576.5,1588.3,344.6,64.6
2006,1594.2,1568,340.3,68.7
2007,2022.5,1782.3,381.3,74.7
2008,2979.6,2516.9,379.3,68.4
2009,3033.9,2621.4,355.2,59.8
2010,2972.8,2598.7,318.9,61.5
2011,2786.6,2547.1,327.2,64.9
2012,2791.8,2639.5,587.6,117.3
2013,2695.1,2695.1,,
2014,2662.6,2691.5,,
2015,2443.1,2562,,
